,Date,Open,High,Low,Close,Adj Close,Volume,interest_rate,Trend,Seasonal,Residual,SMA,EMA,RSI
7,1999-10-12,14.0625,14.125,14.0,14.125,8.891244,49200,5.1,13.791666666666666,0.4553185378134325,-0.12198520448009859,14.25,14.147576588934616,50.0
8,1999-10-13,14.125,14.375,14.0,14.0625,8.851907,49900,5.1,13.75,0.4854903977035427,-0.1729903977035427,14.0875,14.119217725956412,6.666666666666657
9,1999-10-14,14.0,14.0625,13.25,13.625,8.576513,430900,5.1,13.745833333333334,0.18878493415042716,-0.30961826748376076,13.9875,13.954478483970941,10.0
10,1999-10-15,13.125,13.1875,12.6875,13.0625,8.222441,158200,5.1,13.7375,-0.21074018984224374,-0.46425981015775697,13.7875,13.657152322647296,5.555555555555557
11,1999-10-18,13.0,13.0,12.5,12.8125,8.065069,83800,5.3,13.683333333333335,0.017260732502075993,-0.8880940658354113,13.5375,13.375601548431533,4.545454545454547
12,1999-10-19,12.75,13.25,12.75,13.25,8.340458,58200,5.2,13.683333333333335,-0.14218449918290477,-0.2911488341504306,13.3625,13.333734365621023,25.0
13,1999-10-20,13.375,13.5,13.125,13.125,8.261776,62600,5.22,13.762500000000003,-0.2589252610876659,-0.37857473891233695,13.175,13.26415624374735,24.13793103448276
14,1999-10-21,13.125,13.4375,13.0,13.4375,8.458482,98200,5.28,13.808333333333332,0.18749101491965967,-0.5583243482529915,13.1375,13.321937495831566,44.444444444444436
15,1999-10-22,13.375,13.5625,13.3125,13.5,8.497826,191200,5.28,13.849999999999998,0.03927350448009795,-0.3892735044800958,13.225,13.381291663887712,68.42105263157895
16,1999-10-25,13.4375,13.9375,13.4375,13.9375,8.77322,153100,5.28,13.89583333333333,-0.2580365383770435,0.2997032050437131,13.45,13.56669444259181,90.9090909090909
17,1999-10-26,13.8125,14.125,13.8125,14.0,8.812562,65600,5.2,13.983333333333333,-0.24954644405469928,0.2662131107213668,13.6,13.711129628394541,87.5
18,1999-10-27,14.0,14.1875,14.0,14.0625,8.851907,100900,5.07,14.1625,-0.29939334771770465,0.199393347717705,13.7875,13.828253085596362,100.0
